                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.1518,                0.83841,                 1.5788,                0.96232,                0.97043,                0.96481,                0.73713,                0.93793,                0.49624,                 1.2845,              0.0002773,              0.0002773,              0.0002773
                     76,                  1.134,                0.83693,                  1.569,                0.96198,                0.97261,                0.96214,                0.73561,                0.93055,                0.49156,                 1.2732,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.1515,                0.84475,                 1.5788,                0.96083,                0.96999,                0.96382,                0.74209,                0.92256,                0.48903,                  1.263,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.1406,                 0.8287,                 1.5727,                  0.959,                0.96882,                0.96417,                0.73574,                0.92828,                0.49732,                 1.2568,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.1483,                0.83327,                 1.5725,                0.95986,                0.97145,                0.96006,                0.73778,                0.92691,                0.49269,                 1.2721,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.1301,                 0.8288,                 1.5578,                0.96272,                0.97189,                 0.9632,                0.73444,                0.93767,                0.49834,                  1.271,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.1301,                0.82775,                 1.5598,                0.96096,                0.97072,                0.95944,                0.73538,                0.92042,                0.48931,                 1.2689,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.1285,                0.82365,                 1.5554,                0.96212,                0.97255,                0.95975,                0.73866,                0.92078,                0.48892,                 1.2529,               0.000208,               0.000208,               0.000208
                     83,                 1.1272,                0.81906,                 1.5607,                0.95995,                0.97222,                0.95924,                0.74137,                0.91281,                0.49072,                 1.2572,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.1223,                0.82368,                 1.5574,                0.95989,                0.97058,                0.96181,                0.73494,                0.93396,                0.50236,                 1.2699,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.1108,                 0.8075,                 1.5483,                0.96226,                0.97093,                0.96247,                0.73648,                0.92069,                0.49161,                 1.2613,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.1052,                0.80341,                 1.5406,                0.96185,                0.97189,                0.95975,                0.73895,                0.92273,                0.49551,                  1.265,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.1129,                0.81536,                 1.5548,                0.96316,                0.97155,                0.96205,                0.73945,                0.91617,                0.48841,                 1.2527,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.1105,                0.81775,                  1.547,                0.95977,                0.97079,                0.96048,                0.73895,                0.93109,                 0.4913,                 1.2706,              0.0001486,              0.0001486,              0.0001486
